;Quantité;Cuves;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AOP CDR Blanc;149.61;110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AOP CDR Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AOP CDR Rouge;1987.24;A5;A9;63;;;;;;;;;;;;;;;;;;;;;;;;;;;
AOP Chateauneuf Rouge;74;107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AOP Costière Blanc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AOP Costière Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AOP Costière Rouge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AOP Coteaux du Languedoc Blanc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AOP Coteaux du Languedoc Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AOP Coteaux du Languedoc Rouge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio AOP CDR Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio AOP CDR Rouge;189.13;109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio Cabernet OC Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio Cabernet OC Rouge;550;9;112;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio Cabernet VDF Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio Cabernet VDF Rouge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio Chardonnay OC Blanc;38;128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio Chardonnay VDF Blanc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio Cinsault OC Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio Cinsault OC Rouge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio Cinsault VDF Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio Cinsault VDF Rouge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio Grenache OC Blanc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio Grenache OC Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio Grenache OC Rouge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio Grenache VDF Blanc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio Grenache VDF Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio Grenache VDF Rouge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio Marselan OC Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio Marselan OC Rouge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio Marselan VDF Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio Marselan VDF Rouge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio Merlot OC Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio Merlot OC Rouge;1085.9;22;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio Merlot VDF Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio Merlot VDF Rouge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio Muscat OC Blanc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio Muscat VDF Blanc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio OC Blanc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio OC Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio OC Rouge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio Pinot OC Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio Pinot OC Rouge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio Pinot VDF Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio Pinot VDF Rouge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio Sauvignon OC Blanc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio Sauvignon VDF Blanc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio Syrah OC Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio Syrah OC Rouge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio Syrah VDF Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio Syrah VDF Rouge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio VDF Blanc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio VDF Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio VDF Rouge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio VP30 Blanc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio VP30 Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio VP30 Rouge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio VP34 Blanc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio VP34 Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bio VP34 Rouge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cabernet OC Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cabernet OC Rouge;503.54;A3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cabernet VDF Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cabernet VDF Rouge;1946.19;62;40;103;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chardonnay OC Blanc;522.54;75;111;113;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chardonnay VDF Blanc;493;11;118;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cinsault OC Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cinsault OC Rouge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cinsault VDF Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cinsault VDF Rouge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grenache OC Blanc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grenache OC Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grenache OC Rouge;12;132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grenache VDF Blanc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grenache VDF Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grenache VDF Rouge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marselan OC Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marselan OC Rouge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marselan VDF Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marselan VDF Rouge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCR;24.4;133;134;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Merlot OC Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Merlot OC Rouge;1501.83;53;32;37;;;;;;;;;;;;;;;;;;;;;;;;;;;
Merlot VDF Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Merlot VDF Rouge;1542;60;79;46;;;;;;;;;;;;;;;;;;;;;;;;;;;
Muscat OC Blanc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Muscat VDF Blanc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OC Blanc;584;135;12;108;;;;;;;;;;;;;;;;;;;;;;;;;;;
OC Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OC Rouge;260;34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pinot OC Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pinot OC Rouge;294;78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pinot VDF Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pinot VDF Rouge;128.6;B8;131;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sauvignon OC Blanc;656;39;49;129;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sauvignon VDF Blanc;307;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Syrah OC Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Syrah OC Rouge;1386;56;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Syrah VDF Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Syrah VDF Rouge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VDF Blanc;970;59;B11;B12;;;;;;;;;;;;;;;;;;;;;;;;;;;
VDF Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VDF Rouge;6941.57;A4;A6;A8;A10;A11;A12;A13;A14;54;77;B21;B22;4;5;14;20;23;29;CV2;B10;117;;;;;;128;128;129;128
Vinaigre;37;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viognier OC Blanc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VP30 Blanc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VP30 Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VP30 Rouge;533;B15;CV3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VP34 Blanc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VP34 Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VP34 Rouge;102;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mourvedre OC Rouge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mourvedre VDF Rouge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pic St Lou Oc Rouge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pic St Lou Oc Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pic St Lou Oc Blanc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AOP Languedoc Blanc ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AOP Languedoc Rouge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AOP Languedoc Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Portes Med Rosé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
